lineNum,sentence1,sentence2,sentence3,sentence4,sentence5,sentence6,sentence7,sentence8,sentence9,sentence10
1301,Benazir made a deal with Pervez Musharraf while betraying the London agreement with Nawaz Sharif.,During her reign Benazir provided her husband the opportunity of making money and because of this he popularized as Mr. 10 percent.,Benazir brother was killed during her reign whose assassins are still safe.,Though a woman still Benazir avoided to fight for the rights of women.,Just like Benazir politicized her father&#39;s dead body similarly his widower husband politicizing her dead body.,Benazir reigned twice but not only she failed to punish her father&#39;s political murder but could not file a case against them.,It has been thirty seven years since the separation of East Pakistan and look at the height of insensitivity of our people and rulers that neither did anyone mourn nor grieved over their mistakes on that day.,It should have happened that we should look upon 16th December as a black day and should take appropraite steps so that this type of accident does not happen again.,On that day&#44; we send humanism messages to the people of Bangladesh and try to bring them closer to us.,Rulers open the file of Mehmood-ul-Rehman Commission in order to study the reasons for the separation of East Pakistan.
1311,They are making strategies to bring back the Beharis (ethnic class) stranded in Bangladesh and send them gifts to encourage them.,But we have become so indifferent that when someone dies in our own neighborhood we don&#39;t know about it.,We are not even concerned about our brothers because we have become too self-centered.,Even after big tragedies we return to our routine life the next day.,Perhaps&#44; like East and West Germany were united&#44; in the same way&#44; East and West Pakistan will also be united once more.,We can still be united if we are prepared to make sacrifices for each other and come out of the crust of selfishness.,But this wish does not seem to be fulfilled in the near future,Today when it was told in the news that Governor of American State Illinois has been arrested for charges of corruption,and to remove him from governorship provincial Congress is preparing for his rapid accountability&#44; our American friend who has a keen interest in Pakistani affairs exaggeratedly said to me &#39;see this is democracy&#39;.,No one is beyond the law in America.
1321,and here is your country Pakistan whose president was dropped of the corruption charges before sworn in.,My sense of humor rouse and I said what&#39;s strange if a governor has been arrested in America&#44; in our Pakistan prime minister was arrested overnight and once was hanged and second time was exiled.,Tell me&#44; has it ever happened in America?,In Pakistan the country law breaker has been departed from President House with guard of honor&#44; tell me has it ever happened in America?,In Pakistan Chief Justice has been dismissed as despite of public support he is not reinstated yet&#44; has this ever happened in America?,In Pakistan fake degree holder has become the Health Minister&#44; did this happen in America?,By hearing this American laughed like mads and also accepted his defeat.,In the picture&#44; despite being flanked by Americans from all sides&#44; President Zardari is smiling.,From his joy it looks like,He thinks that the Americans are with his government. What he forgets is that these same people were with Musharraf a year before.
1331,This picture has been taken as it was a family gathering,A photo like this was never published in the papers before; one president with three American officials.,It seems the American involvement in Pakistan has increased and more than one official is needed to do the job; or they are not relying on their new puppet the way they relied on the one before him.,This could also have been arranged keeping in mind the stories of President Zardari’s breach of commitments.,If it had been a sensible ruler&#44; at least he would not have been grinning during the photo session and he would have had a subservient and embarrassing look on his face.,If the principle of democracy is applied on this picture then Present Zardari is in minority.,In democracy&#44; majority rules the country and the picture reveals the actual rulers.,The scenic Swat valley is also called the Switzerland of Pakistan.,The government’s policy so far is to engage in talks besides the use of force.,But the use of force is achieving nothing other than strengthening the Taliban and increase in public sympathies for them.
1341,What is needed of the government is to address the root cause of this menace instead of using force.,With the root causes addressed&#44; Fazalullah and Taliban will die out themselves.,The Shariat Bill by the ANP government will help to address the problem to a great extent.,But the government must address the financial problems in addition to the implementation of Shariat.,General Musharraf&#44; the rights that his aches that this nation diagonal scientists have activity will be rid of the power&#44; but those who has the intention of changing the interview with CNN,He also to the amadein,The expected actions and the steps arranged was end,When the rule of Bush was at an end he was scared and he started dealing with theives,General Musharraf&#44; the army had to control&#44; but the present Government not only to what is the.,If it was Bajaur&#44; or Swat the terror was uncontrollable by army.
1351,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,I&#39;am afraid that pakistani millitary is unable to controll a small group of taliban from entering in there country then how can they fight with india
1361,They are unable to track the non-juduicial F.M channel which is running by taliban&#44;according to me that is very easy.,Then also they didnt took any action against taliban&#39;s illegal F.M channel which is spreading poison all over the country or ruining their country with the help of that channel,After closing the girls schools now they are closing the boys schools too.,They order curfew because talibans can move easily or proceed easily.,Today at night during curfew eight turcks&#44; during curfew they entered mangora&#39;s environ and ENTRENCHED them.,Now the question raises that after being curfewed then how the talibans entered in .,The Army can kill Akber bagdi at his home but they given salami to taliban,For god sake can anyone make then understand that help the helpless people of SWAT and release them from the talibans army and prove that pakistani army is strong enough to take action against any one of his enemy.,He says&#44; maximum bloodshed has been done on the base of religion&#44; you tell me in the absence of any religion wont bloodshed occur?,Punjabi&#44; Pathan. white and black&#44; Mehsud and other tribes&#44; are all these created by religion?
1371,Not at all&#44; sir&#44; religion preaches us that there is no white&#44; black&#44; Punjabi or Muhajir&#44; if there is no religion then half of the world would have been destroyed by the war of black and white and remaining half by the war of cast.,Actually religion nourishes human morally and restricts him that he is not here at his own rather is sent by The Creator of Universe and he has to live by God&#39;s rules.,As a Muslim I believe that Islam is true religion and a complete code of life.,After moving to London&#44; I used to call my relatives back home every single morning&#44; although they never called us even once. Then I realized they were inconvenienced by our calling as well&#44; so we stopped.,After living in France now for two years&#44; I feel the same way.,I don&#39;t know why people always expect us to call them.,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
1381,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,It has been proved that this area is from thousands of years is also Israelis country,It should happen that both of the groups should compromise with each other and live in peace but as their relations are in the hands of Arab and western countries&#44; hence without their approval there would be no peace.,Moreover Iran also wants to fight its proxy war from here.,If Israel stops for meantime&#44; then again for some reasons after a while it will start.,The interests of BBC homeland are affiliated to America and Israel and this is why under the wrapper of &#39;broadmindedness&#39; it has produced a series of blogs consisted of &#39;Jewish favor&#39; and is conducting one sided and blind &#39;propaganda&#39;.
1391,BBC is only carrying the &#39;formality&#39; and its objective is to have sympathies!,It is requested to Mr. Moderator that he must publish this review so that it may be proved BBC has element of realism to some extent.,Thanks.,What is not write a story&#44; But how do you have emerged in her every time it is certainly in the Dracula innocent lives in blood&#44;.,In every time and are being wars and every time blood is running.,But this is his son 21st century of the human that it is very civilized agree to how do you Day is a common shouting and head of the murder of the quiet&#44;,How do you feel this isn&#39;t going that he is a bad best T photo: Graham as it is back.,Sorry&#44; nose and tragic aspect of this is that you come downstairs?&#39;®-qualified human aspect of the century coming from the front of the human &#39; and he will be made.,Always being beauty of Hyderabad Deccan,This time it is with Dera Ghazi Khan&#44; the country with the heavy rains of the winter season.
1401,According to the weather a poem was created in the present discipline mentioning about the rice rain.,Do you have this heavy rains too?,It has been Bihar in this year.,As the stay has really been.,Never been so like that.,The buttermilk has never been good in the night.,Noise never ever can be the silence.,Do you have this heavy rains too?,Remember any night,It is about the dust buried.
1411,It seems that Israel will never be.,And never burned themselves,The grief was in a gradual.,Do you have this heavy rains too?,All these things in the right to take the country&#44; those people&#44; or in a.,They also demanded that the people dentifrice or lemon with the crust temples have clearly indicates they are washing with it,Also&#44; the leaders of our media&#44; convening forbidden.,His purpose only money from the group and some not.,People are illiterate&#44; he was talking about it is the biggest ignorance to,Yesterday noon strange thing happened.
1421,The whole police was running here and there but was least bothered about illegal parking.,Not this&#44; NYPD traffic was not in the mood of noticing illegally parked vehicles.,What happened was&#44; an airplane of US Air crash landed in the Hudson River.,Till now the only information pulled out was&#44; &quot;&quot;the terrorists&quot;&quot; were of goose breed.,Yesterday it might be the historic cold in New york.,The temperature does not fall to this extent.,My jaw start to ache because of half an hour outside walk.,Just imagine what would have happened with those who jumped of the plane into the river.,A matter of relief as all the people were safe.,The dark side is that the Company&#39;s plane crashed in this financial crises.
1431,While watching all this I went to New Jersey by West Side Highway. I Noticed that South Bound is blocked&#44; still what I did?,Yes&#44; I was jammed in it on my way back.,Thanks God&#44;during my an hour trip the road was bit cleared as I get an exit from 56 street.,Otherwise I did not avail the first two exit due to the long lanes of vehicles.,Pakistani: hI buffet&#44; Eid Mubarak to you.,Of course&#44; Some replaces faith in policewomen.,Blooming: Mubarak&#44; Wish you also Eid Mubarak.,Sarah: It is like Qurban and jahanzeb are fowl.,Noway in addition to this.,And the form also includes how to make himself meet witout a skin down.
1441,Cork network in the right time.,What happened to the forum?,Hello,The blog allows two hands in the closet.,Sources: Khair Mubarak&#44; Eid Mubarak to you.,Head of the cranes are used.,Snow will disappear.,We thought Talibans as non - related&#44; that there were just in oppose of education for women.,They show this angerness daily by demolishing scools and colleges of women.,But usually this belief is not been streghtened&#44; According to CNN today monday Taliban has demolished a school for boys.
1451,South&#44; taliban has demolished boys school,Girls Schools according to famous proverb &quot;&quot;Literacy first&quot;&quot; following it was destructed first&#44; Cant understand why people still believe Taliban as irresponsible and nomadic creatures?,from this condition it is clear that it is not proper to quote Taliban as against women literacy.,But by gods grace their totally against literacy.,Allah the great should give this Mujhahideen more power and rule,destroying those who rule on us may Allah help them,Ameen Summa Ameen,By gods grace till now 182 schools have been demolished.,The Muslims first thing to strong tradition in the name of gather&#44; property from the Quran&#44; married&#44; and the custom of his many of the girl israr eight years old and adult in and was not&#44; to India&#44; with the girl in the marriage&#44; news.,See the pictures&#44; that are taken in the grooms marriage
1461,From on before a dog married a girl which is also freshed,They saw the groom too,Humanity in 21st century is extinguished,Today is the age of computer and computer&#39;s interference is growing in every aspect of life.,Lots of people have many reservations about this growing interference of computer like in financial issues.,As you have facilities for using credit cards but by this law enforcement agencies has also firmer grip on your private life.,That just by tracking the record of your credit card you can be exposed.,And in future when use of currency will be minimal its utility will increase.,Similarly in crimes world there is no need to rob the bank&#44; information of credit card are hacked.,Similarly friendship has become computerized
1471,&#44; social networking websites like Orcet&#44; Facebook and MySpace are ranked first in popularity.,But don&#39;t you feel that the more closer we are getting of these sites mentally&#44; practically moving further away from people.,Similarly there is the website of match making&#44; where by knowing your choice you are provided with a list of people according to your likings.,Can you spend life with your own cologne (of course not physical)?,I can&#39;t do it&#44; that is why a life partner is known as better half.,That he/she may cover my deficiencies.,Perhaps I received a lesser share of wisdom.,From childhood&#44; I thought of everything as being true if it was told by an elder.,In the same way&#44; I was convinced that my father knew the answer to every question in the world.,I was even ridiculed a lot on this
1481,But only that seemed true which was plausible.,I was always perplexed at the need of telling a lie.,Even suffered in this part of my age because of this,So I tried to keep the lies at a minimum.,I refrained from giving false hopes to others particularly with Allah’s name,And only say God willing when it was my wish that the work was to be done,Besides Allah knows what is there in the hearts.,This is a disgusting problem which rears its head due to the ignorance of the religion.,According to both our religion and the law in Pakistan&#44; infants should remain with their mother.,Their father is responsible for their maintenance allowance and he can meet them.
1491,Then when the kids become mature they can decide with whom they want to live.,You have mentioned correctly that the real problem is the relatives who poison the minds.,Jagirdar thinking on all of our deeds exercises.,Thinking the same thing here working in the property of the father&#44; a new parts and will be opposed the same otherwise his father&#44; the process is commendable and counterfeiting.,Our relationship with the spasm establishments was created the Social abuses.,Related widow and the concept of marriage is scarce.,The same unessential beliefs and traditions are being due to the anxiety family system.,In our societies if a 50-year-old person or the wife of his wife&#44; her husband if left forward and they should take a second marriage&#44;then why the people didn&#39;t see with a good thought.,A Pakistani uncle near to his wife&#44; 10 to 12 years ago were passed away&#44; now all children after their marriages the uncle too got married to a widow woman &#44;but his childrens were against them.,In my opinion they have the right? what would be ur opinion?
1501,In my opinion&#44;being alive as her children no one can take the place of our mother we cant tolerate it..like this how many of us believe in this type of thinking!!!,In my opinion the children of this person should think that after having married all the kids&#44; is there anything wrong in his marrying a widow?,This way the widow gets a caretaker and uncle also gets someone who will take care of his home.,Because his children would certainly be busy in their worldly affairs and would not be having time for him.,The reason behind this is ignorence.,In future what if their wives refused to work for the old man?,This is the outcome of the social pressure.,Childeren feel ashamed on the second marriage of their father when people make jokes of such family on this action.,Where as they must face the circumstances and say that what their father did&#44;it was just according to Islam.,This is a curse in our society in which we are sunk since last 40 to 50 years.
1511,Even a wife is agreed on the unethical activities of her husband but does not allow her for second marriage.,If she had the power She wont allow him of this even after her death.,Along with husband spoils her afterlife too and causes an increase in corruption in society.,The customs of US and Islamabad are not really the same as said by the tourists,Like that of the the culture of the girls&#44; education&#44; marriages etc.,The question is that&#44; the widow of the house have a abdominal contraction again.,In IndopPak we embraced Islam centuries ago but can&#39;t get rid of this unlettered thinking and considered traditions and customs superior then Islam.,Second marriage of man as ridiculous&#44; divorce as stigma&#44; divorced woman as untouchable&#44; love marriage as disgrace and man&#39;s marriage with an elder woman as the result of her cunningness is all because of such thinking.,Moreover to copy the western nations we declare veil and worship backward.,It was easy to embrace Islam to get rid of such thinking is very difficult.
1521,Allah bless us all the courage for it.,Amen.,Writing Urdu was never that difficult.,Centuries passed in writing this little.,Consider it enough.,Allah Hafiz.,Amir taymoori in his book &quot;&quot;Main hoon Taymoor&quot;&quot; writes I realized in my life a secret that if the military commander of the military is in first row then that military would never loose.,But here the situations are different here,they said this that people are present only to die for us if we die then are pious,If people die then murdered
1531,Good,Tonight after isha prayers in the back of the shop&#44; a man in a car the hand&#44; be observant,The -- in the way&#44;has been forgotten in the car&#44; stop his entire family settled,In the norm in Arabic can i understand good&#44; not the said that there is no.,He ----norm&#44; Riaz&#44; here in Madina my pocket but no one has been cut&#44; please go any help you to forgive the said that a brother&#44; because the with my first in the good work in the individual riyals petrol equipment to the full&#44; left to sleep but little has started the work.,I lobbed a fire to the very -- sarders threatened.,This is a condition Tawwab we for the muslims to the vehicles also come with the families items have been printed in at least&#44; pillager.,While saying it hour (qayamat (found) under the hand of the&#44; getting better down to deliver.,God we should have scored amin (amen),Islamic
1541,no translation,The wife of famous singer Adnan Sami reached went to police station for blaming him of torturing her,&#44; police has advised her to consult the court.,Saba Galadari wife of Adnan Sami has filed an application against him that Adnan Sami continuously tortures her,and behaves inhumanly&#44;,Now she is fed up of this therefore case must be filed against him,&#44; in place of filing case police asked her to consult the court by saying that this case is not under the jurisdiction of police.,In your opinion the blame of Adnan Sami&#39;s wife on him is true?,Is it not an attempt of India to defame Adnan Sami?,Do inform us with your opinion in this regard.
1551,Adam Sanghar&#44; Meher,As far as the allegations are concerned&#44; anyone can levy them on any other person.,There is nothing superior to honor.,Whatever is the current state of relations between Adnan Sami and his wife&#44; Adnan Sami left his respectable life and went to India to earn a fortune. The same fame has now importuned him.,It is the outcome of his wrong doings.,Washington,American high officials have stated that President Obama will take a stern attitude towards the Afghan President Hamid Karzai.,The new American strategy towards Afghanistan will focus on war instead of development,The officials said that Hamid Karzai is being viewed as an obstacle in achieving American interests in Afghanistan because of government corruption and drug trafficking is on the rise and the Talibans are gaining strength,The American officials also said that those people in the current administration who are pressurizing Hamid Karzai to do more include&#44; Vice President Joe Biden and American Envoy for Afghanistan and Pakistan&#44; Richard Holbrook
1561,They stated that the policy change came after President Bush left office&#44; who used to have video conferencing with Hamid Karzai fortnightly and emphasized the American role in the rebuilding of Afghanistan and its civil institutions.,The Obama administration will work with provincial political leaders instead of the central government.,They said that they will ask Hamid Karzai to intensify the campaign against corruption.,Hamid Karzai is facing new elections this year and it is not yet clear whether Obama and his administration are going to back him up in the presidential race.,Does this statement reflect a shift in American policy towards Afghanistan?,Is Hamid Karzai’s era coming to an end?,What is your say on this?,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
1571,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,Babar Hussain&#44; a very well known personality said that&#44; people are ignorant about the cultures and the landlords are targetting innocent people who are now loosing soverignity.,Why does the government not take any action against Sardars who ditches a war?,WHen will the court justice work?,Sir Lankan cricket team has reached Pakistan for playing one day international series.
1581,Visit of a foreign team to Pakistan&#44; in spite of Pak India tension is a good sign.,On reaching Karachi Airport the Sir Lankan team was given a warm welcome.,Two matches will be held between Pakistan and Sir Lanka in Karachi while the third one will be played in Lahore.,Both teams are asserting highly regarding their batting&#44; bowling and fielding.,If Siri Lanka venerates its spinners&#44; Pakistan’s reliance is on its fast bowlers.,Sir Lanka’s captain Mahela Jayawardene says that no one player but the whole Pakistan cricket team is dangerous.,Muralidharan and Mendis will be the trump cards&#44; while Pakistan’s captain says that this competition will be tough.,Shoaib Malik has said “we have played Murali Dharan before and will take care of Mendis as well. We have made a secret game plan and will reveal it on the ground”.,Will the Pakistan and Sir Lanka series live up to claims of being interesting and thrilling?,Which side will dominate in the Pakistan and Siri Lanka series?
1591,Who will win the series?,Who will be man of the series?,Inform us of your suggestions.,Gulfam from London has published his own statement&#44; you also give importance to such statements. We wish you also write some truth .and do not change statement like Mukherjee&#44; because it is an order to say truth to the despotic ruler is legitimate. And it is equal to jihad. Mukherjee keeps changing his statements to stay in news.,mulk yusuf Dubai,All this is done by these people. Kashmir is fighting for its freedom from past 60 years.,those who have not asked about it have now themselves in deep violence. talks of comprise has been started,first killed Muslims openly now heading for cover it,anyways Pakistan should understand their double policies.,Asad Khan: London
1601,India is making situations so that the Kashmir situation is overlooked.,But Pakistan has always shown India&#39;s true face to the world.,Even the British government is now understanding this&#44; that is why India is now ruining Pakistan&#39;s reputation by terrorism accusations to distract from the Kashmir situation.,And hesitates to talk with Pakistan about this.,Britains Secretary of State David Miliband said that resolving Kashmir issue will finish off the extremism and the government of Pakistan will be able to tackle the dangers faced at the border efficiently,It should be noted that recently the newly elected American President Obama has also expressed similar thoughts on the Kashmir issue,Britains Secretary of State said in front of media in Mumbai and also wrote that the idea of war against terrorism is wrong.Killing people for the sake of threats being faced had been the policy of President Bush,David Milliband said that Pakistan should not have any soft corner for the extremist groups,Is India creating uncertainity in the region to avoid the resolution of Kashmir issue by big powers?,Are the Mumbai attacks the part of the plan?
1611,Does India want to avoid the comprehensive talks by on the basis of terrorism?,Enlighten us with your views,Usman Aftab.,I think Super powers don&#39;t want to destroy Pakistan,rather they are thinking of certain policies to control her they are familiar that Pakistan is an atomic power,want to bring some sort of revolution,Foreign countries believe that by cornering Pakistan few hurdles may generate want to support Pakistan and also wish to achieve their goal,A citizen&#44;USA,Hindus always hit hard and then start speaking sweet.,I think that they get problems often in a while and they start threatning Pakistan.
1621,We are ready from each aspect.Indian army chief should better shut his mouth up else we are capable to cross attacking.,Faheem Siddique,Raas Al Khaima&#44; It is due to America that wrong statements are being given &#44; America is out of its mind but now India is also doing the same&#44; India should try attacking &#44; then it will become crystal clear that who stands where.,Israel is attacking Hammas but nobody has that much integrity to stop them. India also want to follow Israel&#39;s foot steps,Prime Minister Syed YOusaf Raza Gillini said that the newly elected vice president Joe Biden had played an important role in steping down of previous president musharraf as army cheif and restoring crippled democracy&#44; thats why the government of pakistan has awarded him with Sitare-e-Imtiaz (honour medal),No political party shoud get credit of his giving up of uniform and restoration of the democracy &#44; Parliment is not a mere rubber stamp,All decisions will be taken in the parliment,Prime minister said that the chapter of Doctor Qadeer has been closed,What do you think&#44; the peoples protest against dictatorship has no value at all?,Has the lawyers protest played no role?
1631,What are your views about this statement of the Prime Minister,Do enlighten us with your views,Translation of the first sentence goes here.,Translation of the second sentence goes here.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.
1641,In recent years the number of chemical and herbal health supplements has greatly increased in popularity&#44; a major one of which is human growth hormone&#44; commonly known as HGH.,Vice President Dick Cheney wants to see Osama bin Laden live or dead.,Dick chenney said that Osama bin Laden is living in a a hard and tough area unopened and for their ineffective Organization has been&#44; if Osama bin Laden is alive or also dead arrest him and end this Organization.,America for the arrest of Osama bin Laden and determination to search should mortgage.,Did dick Cheney&#39;s wishes will come true for The arrest of Osama?,Through the opinion,Shahih Afreedi like all rounder cricketer on the Faiz Azam trophy in BISA and Habbeb bank match end of first day of had a fight with a spectator.,At UPL ground after playing the match when Shahid Afreedi came out of the drawing room fans surrounded him.,At one moment of the spectator pulled hand of Shahih Afredi and requested for a snap for which shahid afreedi pushed him and asked to take it later&#44; for the force of spectator shahid afreedi got angry and slapped him before the situation gets worse people there sought out the problem,Shahid Afreedi then said people are just making this just an issue i was in a hurry for prayer&#44;
1651,Anyways i will patch up with this spectator.,What would you say about behavior of shahid afreedi.,gives us your suggestion.,Manmohan Singh&#44; the Indian Prime Minister have allegedly said that this environment is by Pakistan,Terrorism and state policy of Pkistan,Manmohan singh&#44; when addressing in the Chief Minister&#39;s conference in New Delhi&#44; said that the Pakistan is supported by the neighbouring countries,After Mumbai attack by the terrorist&#44; the naval path and the Indian coasts are made safe.,Prime minister of India said that the November attach in Mumbai was by Lashkae-e-Taiba.,The policy is that the Modern communication systems and the new techniques used in Line of control will increase the infiltration of terrorism .,How will the Indian Prime Minister see this allegation?
1661,This marks the anxiety of the Mazhar facets,How does the attitude of India towards threatening?,Regarding this choice.,Zubair Khan&#44; Karachi,It is extremely sad that the Israelis are openly killing Palestinians. Over here&#44; Kashmir is in the same situation but the Peace Council does not even turn a ear over it.,All the groups that are in Kashmir and Palestine&#44; should keep the war going for freedom&#44; and unitedly fight any force that opposes them. One day their martyrdom will bear fruit&#44; God willing.,Israeli air attacks are still continued on Gaza&#44; hundreds of Palestinian men&#44; women and children have been martyred.,The important leader of Hamas Nazaar Rayyan and family has been martyred.,The Security Council session ended without any decision.,America has opposed the censure resolution against Israel submitted by Lebia and other Arab countries in the session.
1671,Israeli airplanes bombardment is continued since many days on Palestinian civil population.,The whole world reacted on Mumbai attacks but no country including America and England can see bloodshed caused by Israeli attacks.,Why the major countries of Muslim world are silent?,What will you wish to say on this double standard of the world.,Saeed&#44; New York,I think the actual point that the majority of our nation in illetrate. They even dont know where their money is going to. Government is interested in applying taxes and fullfil their duties. Electricity and Gas shortage will remain same.,Because who are elected by public are very well known,The crisis of electricity and gas has worsen in whole of the Pakistan,&#44; on the other hand gas prices have been raised by average 8&#44; while in few cities unavailability of petrol created immense worry for people.,Intense reactions&#44; riots and torturous demonstration are continued in the industrial and business circles of Pakistan against the crisis of electricity and gas.
1681,Industrialists have threatened a shutdown ultimatum.,In Karachi people are worried due to 8 to 10 hours load shedding.,Industrial sector is almost paralyzed.,Government Institutions are expressing their opinion by blaming each other.,Increasing the prices of electricity and gas is not a joke with people?,Why the solutions of the problems are not considered?,Is government not seeing the full stop on national development?,What steps you will instantly recommend for managing this crisis?,Let us know your opinion.,Imran Khokar from Madīnah Munawwarah&#44; “I would like to say that rulers are a reflection of society’s morality.
1691,I am surprised that a government claiming to be people’s friendly is unfriendly to the people.,Non-Availability of electricity&#44; gas and petrol has become a menace.,The government does not have any control over the institutions.,The law and order situation is worsening day by day. May Allah have mercy on the country.,It&#39;s beginning of a new year.,Previous year was a year of fun and political tactics&#44; it is also remembered by terrorism,It was an end of president Musharraf and end of eight year reign of president Bush&#44; rain of boots on bush and southern rule in Pakistan&#44; Earthquake in Baluchistan&#44; Downfall of economy throughout the world&#44; Heavy marketings,Its the eve of new how you see the previous year?,From your what will be the political and geographical conditions what will be the policy of Obama?,Is there any fast results in end of terrorism?
1701,Will Pakistani courts end?,what will be the relations between Indo - pak?,Is there any situation of immediate wars?,From new year what are your resolutions?,Guide us with your Ideas.,The first anniversary of Shaheed Benazir Bhuttu is being celebrated. She was being assisinated on 27th december&#44;2007 in Liaquat Garden Rawalpindi while addressing a rally,Today Benazir is not amongst us.She was a respected politician and a globally renowned personality. She held a valuable place in the countries democracy,One year has passed&#44; till today the case of her murder has not been resolved,Her efforts didnot go in vain for the restoration of democracy and the formation of government in Pakistan,Today a democratic Government has been established in Pakistan and her husban Asif Ali Zardari is being appointed as the president
1711,How do you visualize the role of Benazir Bhutto Shaheed in the politics of Pakistan,Who could have been behind her assisination?,Recently she had been awarded with the global award for the human rights. What do you say about her political and democratic efforts,The US president bush ruled 8 year after the government to the White House and leaving Camp David presidential camp Office transferred to the White House&#44; so that the new President Barak Obama to the wishes of the worked can be prepared by.,Bush term of eight-year-old in America in the World Trade Center and attacked a historic destruction&#44; the Pentagon Mantua attack and against the terrorism in the international war in Afghanistan and Iraq&#44; the military action in the forces of the countries in this war the American resources full use of Bush and became memorabilia examples.,The war of US in the history faced the economic and financial crisis.,What do you think about the gains and loses this world has earned because of the war.,Did President Bush&#39;s policies succeed?,The Government of President Bush&#39;s opinion on you?,Indian Government has stopped Indian team from tour of Pakistan.
1721,Indian team during tour to Pakistan had to play three test&#44; five one day matches and one twenty twenty match.,Indian Cricket new leader Rajiv Shukla speaking on Zee News said board has requested for tour to Pakistan but as there is a cold war between two countries this tour is not possible,Is Indian government not allowing cricket team for tour is justified&#44; game should be kept aside of other issues?,India view for cricket is not harmful?,Indian security system is not good instead of which English cricket team tours India then does India should not tour Pakistan?,In this matter what is your opinion.,Salman Karachi,People who are proud to go to India,And make their films and own Videos should now open their eyes and see that how Indians respect you,I remember an interview of adnan sami in which he said that I am not a Pakistani&#44; my nationality is British.
